"measure_id";"measure_name";"location_name";"race_group";"year_id";"val";"country"
25;"Maternal mortality ratio";"Alabama";"Hispanic and any race";1999;7.054949692;"United States"
25;"Maternal mortality ratio";"Alabama";"Hispanic and any race";2000;6.854802233;"United States"
25;"Maternal mortality ratio";"Alabama";"Hispanic and any race";2001;7.071386786;"United States"
25;"Maternal mortality ratio";"Alabama";"Hispanic and any race";2002;7.665044298;"United States"
25;"Maternal mortality ratio";"Alabama";"Hispanic and any race";2003;7.974929845;"United States"
25;"Maternal mortality ratio";"Alabama";"Hispanic and any race";2004;7.718915775;"United States"
25;"Maternal mortality ratio";"Alabama";"Hispanic and any race";2005;6.989432654;"United States"
25;"Maternal mortality ratio";"Alabama";"Hispanic and any race";2006;6.323375567;"United States"
25;"Maternal mortality ratio";"Alabama";"Hispanic and any race";2007;6.061480051;"United States"
25;"Maternal mortality ratio";"Alabama";"Hispanic and any race";2008;6.293163677;"United States"
25;"Maternal mortality ratio";"Alabama";"Hispanic and any race";2009;6.731206342;"United States"
25;"Maternal mortality ratio";"Alabama";"Hispanic and any race";2010;7.092682315;"United States"
25;"Maternal mortality ratio";"Alabama";"Hispanic and any race";2011;7.255164149;"United States"
25;"Maternal mortality ratio";"Alabama";"Hispanic and any race";2012;8.23213718;"United States"
25;"Maternal mortality ratio";"Alabama";"Hispanic and any race";2013;10.47103763;"United States"
25;"Maternal mortality ratio";"Alabama";"Hispanic and any race";2014;13.62227887;"United States"
25;"Maternal mortality ratio";"Alabama";"Hispanic and any race";2015;15.20337553;"United States"
25;"Maternal mortality ratio";"Alabama";"Hispanic and any race";2016;15.26961374;"United States"
25;"Maternal mortality ratio";"Alabama";"Hispanic and any race";2017;15.3377814;"United States"
25;"Maternal mortality ratio";"Alabama";"Hispanic and any race";2018;16.30385945;"United States"
25;"Maternal mortality ratio";"Alabama";"Hispanic and any race";2019;16.1375434;"United States"
25;"Maternal mortality ratio";"Alabama";"Non-Hispanic American Indian and Alaska Native";1999;2.004992947;"United States"
25;"Maternal mortality ratio";"Alabama";"Non-Hispanic American Indian and Alaska Native";2000;1.288776695;"United States"
25;"Maternal mortality ratio";"Alabama";"Non-Hispanic American Indian and Alaska Native";2001;1.348088403;"United States"
