measure_id,measure_name,location_name,race_group,year_id,val
25,Maternal mortality ratio,Alabama,Hispanic and any race,1999,7.054949692
25,Maternal mortality ratio,Alabama,Hispanic and any race,2000,6.854802233
25,Maternal mortality ratio,Alabama,Hispanic and any race,2001,7.071386786
25,Maternal mortality ratio,Alabama,Hispanic and any race,2002,7.665044298
25,Maternal mortality ratio,Alabama,Hispanic and any race,2003,7.974929845
25,Maternal mortality ratio,Alabama,Hispanic and any race,2004,7.718915775
25,Maternal mortality ratio,Alabama,Hispanic and any race,2005,6.989432654
25,Maternal mortality ratio,Alabama,Hispanic and any race,2006,6.323375567
25,Maternal mortality ratio,Alabama,Hispanic and any race,2007,6.061480051
25,Maternal mortality ratio,Alabama,Hispanic and any race,2008,6.293163677
25,Maternal mortality ratio,Alabama,Hispanic and any race,2009,6.731206342
25,Maternal mortality ratio,Alabama,Hispanic and any race,2010,7.092682315
25,Maternal mortality ratio,Alabama,Hispanic and any race,2011,7.255164149
25,Maternal mortality ratio,Alabama,Hispanic and any race,2012,8.23213718
25,Maternal mortality ratio,Alabama,Hispanic and any race,2013,10.47103763
25,Maternal mortality ratio,Alabama,Hispanic and any race,2014,13.62227887
25,Maternal mortality ratio,Alabama,Hispanic and any race,2015,15.20337553
25,Maternal mortality ratio,Alabama,Hispanic and any race,2016,15.26961374
25,Maternal mortality ratio,Alabama,Hispanic and any race,2017,15.3377814
25,Maternal mortality ratio,Alabama,Hispanic and any race,2018,16.30385945
25,Maternal mortality ratio,Alabama,Hispanic and any race,2019,16.1375434
25,Maternal mortality ratio,Alabama,Non-Hispanic American Indian and Alaska Native,1999,2.004992947
25,Maternal mortality ratio,Alabama,Non-Hispanic American Indian and Alaska Native,2000,1.288776695
25,Maternal mortality ratio,Alabama,Non-Hispanic American Indian and Alaska Native,2001,1.348088403
25,Maternal mortality ratio,Alabama,Non-Hispanic American Indian and Alaska Native,2002,1.8904653
25,Maternal mortality ratio,Alabama,Non-Hispanic American Indian and Alaska Native,2003,2.397914422
25,Maternal mortality ratio,Alabama,Non-Hispanic American Indian and Alaska Native,2004,2.549192628
25,Maternal mortality ratio,Alabama,Non-Hispanic American Indian and Alaska Native,2005,2.442749351
